ID,Program of Study,Gender,Nationality,Place of Birth,My current semester is:,Father's Education,Mother's Education,Parental Income,Any close family member with the same profession available for guidance,Availing any scholarship,I opted for this program of study because of my own interest.,Basic Education Stream,Intermediate Stream,Matric Percentage ,Intermediate Percentage ,SGPA in BS First semester ,SGPA in BS Second semester ,PredictedSGPA of BS Third semester ,Predicted Grade (based on SGPA) of 3rd semester,PredictedCGPA of BS third sem.,Predicted Grade (based on CGPA) of 3rd semester,I understand the lecture more clearly if delivered in:,I understand the lecture more clearly if delivered on:,I understand the lecture more clearly if my sitting place is in:,I understand the lecture more clearly if the duration is:,I understand the lecture more clearly if delivered by:,I understand the lecture more clearly if the number of students in classroom are:,I understand the lecture more clearly if:,Lecture attendance has a positive effect on my academic performance.,TVFs often reschedule classes that negatively impacts my performance.,TVFs are very difficult to access after class timings and hence I am unable to clarify my concepts.,TVFs do not provide assessment results timely so I remain unaware of my standing in class.,TVFs are not aware of the university's curriculum and other requirements.,TVFs grade students according to their own beliefs and criteria and hence my GPA suffers.,TVFs are not very well prepared for the lectures due to their busy schedule.,TVFs have short-term relations with students and hence do not show sincere behavior to polish my academic skills. ,What is your residence place?,An ample amount of time is consumed on daily commuting and all energy is drained during travelling.,"Due to class/ lab cancellation or roads blockage, lots of time get wasted due to fixed official transport timings.",Hostelite can be more focused towards their studies whereas a day scholar may have a lot of distractions due to family issues.,"Hostelites have more opportunities to engage with their peers and participate in social events, that improve their performance.","Hostelites have better access to campus resources like libraries, instructors, labs and also get benefit of group study. ",Hostelites have a big social circle and connections with seniors who can guide them in studies and in other academic and administrative issues.,Un-announced quizzes are quite stressful and cause unnecessary anxiety and pressure on students.,Un-announced quizzes are a form of torture and have negative impact on learning environment.,I am not usually prepared for surprise quizzes and hence these are not true measures of my knowledge and understandings.,Un-announced quizzes are a waste of time and energy and are not effective and productive in the long term.,I cannot miss a single class despite my health or any other emergency situations due to unannounced quizzes as it badly effects my grade.,"I usually do not perform very well in surprise quizzes, hence lose my interest in the subject.","Due to overall academic workload, it is not possible to study/ practice each subject on daily basis, to prepare myself for unannounced quizzes.",Class Representative (CR) is favored more than any ordinary student as he/ she is in more contact with teachers.,"If a student is more active in class, then it is more likely that the teacher would be lenient during his/ her exam checking. ","Some teachers show more kindness towards female students, and it is clearly reflected in their grades. ",Preferential treatment with selective students creates a negative classroom environment and affects the learning experience. ,Discrimination distracts me from focusing on the course and I lose interest in attending the classes. ,"Discrimination negatively effects my mental condition, confidence, and overall engagement in the classroom. ",A proper classroom environment and discipline is not possible to maintain in online environment.,"Due to lack of technical expertise, senior instructors struggle a lot in online lectures, and I lose my interest.",It is difficult to convey complex concepts in online mode and hence quality of education suffers.,"It becomes a hobby to watch recorded lectures later on, so I try to cover a lot of content in a short time that becomes difficult to absorb.",I am easily distracted by social media and other sources of interruptions during online lectures.,"It reduces social interaction that results in a feeling of isolation, and I lose interest in studies.","It is easier for students to cheat in online exams, leading to academic dishonesty and hence I lose my motivation.",Lack of technical resources create disruptions during lectures and make it difficult to understand. ,I prefer to revise the lectures daily or before the next class of the same subject.,I frequently make use of You tube or Chat GPT for understanding of different concepts.,I enjoy and perform well in non-technical (Humanities/ Management/ Social Science) courses.,I am usually well prepared for exams but unable to attempt properly due to exam stress.,Instructors often miss lectures and arrange makeup classes that further increases my burden.,My classes schedule is usually very tight that hinders the process of learning.,I often come across health issues that effect my academic performance.,My preferable mode of study is:,My preferable time of study is:,My overall mobile usage (daily) for non-academic purpose is limited to:,
246,Computer Science,Male,Pakistani,Punjab,3rd,BS,BS,Between 1Lac~2Lac,YES,NO,4,Matric,FSc/ ICS,80,84,3.48,3.53,3.4,B,3.47,B,Mix of both English and Urdu,Whiteboard,Middle row,1 hour,Male instructor,Not more than 30,I take notes during lecture,1,5,2,3,5,4,4,4,1,5,5,4,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,3,3,4,5,5,5,Group study,Late night,1~2 hours,
247,Computer Science,Female,Pakistani,Federal/ Capital,4th,MS,Intermediate,Above 3Lac,NO,NO,3,Matric,FSc/ ICS,78,79,1.9,2,2.1,D,2.00,D,Mix of both English and Urdu,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,2,2,2,3,2,3,3,3,1,4,5,3,4,3,4,4,4,3,3,4,3,4,4,4,3,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Group study,Late night,5~6 hours,
248,Computer Science,Male,Pakistani,Punjab,3rd,BS,BS,Between 1Lac~2Lac,YES,NO,2,Matric,FSc/ ICS,84,68,3.33,3.45,3.56,A,3.45,B,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,1 hour,Male instructor,Number of students does not effect my performance,Notes taking has no relation with my academic performance,3,2,2,4,4,4,4,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Group study,Late night,More than 8 hours,
249,Computer Science,Male,Pakistani,Punjab,3rd,BS,BS,Below 30K,YES,YES,4,Matric,FSc/ ICS,82,75,3.31,3.25,3.13,B,3.23,B,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,4,4,1,2,4,2,2,3,1,2,2,2,3,5,2,2,2,3,2,4,3,4,2,2,3,3,3,4,3,2,3,2,2,4,3,2,2,3,2,3,4,2,3,Group study,Day time,5~6 hours,
250,Computer Science,Male,Pakistani,KPK,3rd,BS,Intermediate,Below 30K,YES,NO,5,Matric,FSc/ ICS,97,89,2.3,2.3,2.45,D,2.35,D,Urdu,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,3,3,3,3,3,3,3,2,4,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Group study,Day time,3~4 hours,
251,Computer Science,Male,Pakistani,Punjab,3rd,MS,MS,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,92.27,84.14,2.35,2.25,2.15,D,2.25,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,4,5,2,4,4,4,2,2,5,4,2,3,1,2,3,2,4,2,4,3,4,5,5,2,4,4,4,5,4,2,4,5,4,4,4,2,5,5,4,4,5,2,Independent study,Day time,5~6 hours,
252,Computer Science,Female,Pakistani,Federal/ Capital,3rd,PhD/ Doctor,BS,Between 50K~1Lac,YES,NO,4,Matric,FSc/ ICS,83,70,1.9,2.7,2.42,D,2.35,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,2,1,1,1,1,1,1,1,3,3,3,3,3,3,4,3,4,4,5,4,3,4,3,1,3,3,3,2,2,2,4,2,1,1,2,3,3,3,3,3,5,3,Group study,Late night,5~6 hours,
253,Computer Science,Male,Pakistani,Federal/ Capital,5th,PhD/ Doctor,MS,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,93.34,87,1.92,2.6,2.7,C,2.41,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,1,5,5,3,2,4,2,3,2,5,5,2,3,3,3,5,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,3,1,2,1,3,4,5,4,3,5,5,5,Independent study,Day time,1~2 hours,
254,Computer Science,Male,Pakistani,Punjab,3rd,BS,MS,Between 30K~50K,NO,NO,3,Matric,FSc/ ICS,80,80,1.85,1.95,2.01,D,1.94,E,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 40,Only understand the concepts without noting them down,1,4,2,2,3,4,2,3,1,2,5,4,3,3,4,5,4,5,4,5,4,5,4,5,4,4,5,5,3,2,3,3,2,2,1,3,3,5,4,4,5,4,4,Independent study,Day time,1~2 hours,
255,Computer Science,Female,Pakistani,Punjab,3rd,Intermediate,Intermediate,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,81,78,2.6,3,2.89,C,2.83,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,3,4,4,3,4,3,4,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1,3,1,1,3,3,3,3,3,3,3,3,3,4,3,Independent study,Late night,3~4 hours,
256,Computer Science,Female,Pakistani,Punjab,3rd,BS,BS,Between 50K~1Lac,YES,YES,3,Matric,FSc/ ICS,90,78,2.9,3.1,3.21,B,3.07,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1.5 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,5,2,2,2,2,2,2,2,1,4,4,4,4,4,4,5,5,3,3,4,3,2,1,4,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,3,4,2,3,Independent study,Late night,5~6 hours,
257,Computer Science,Male,Pakistani,Federal/ Capital,3rd,Matric,Matric,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,80.4,67,3.12,2.7,2.91,C,2.91,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,1,5,5,5,5,3,2,4,1,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,1,5,5,4,Independent study,Day time,1~2 hours,
258,Computer Science,Male,Pakistani,Federal/ Capital,3rd,BS,Matric,Between 2Lac~3Lac,YES,NO,4,Matric,FSc/ ICS,89,64,2.79,3.2,3.2,B,3.07,B,Mix of both English and Urdu,Power point,Middle row,1.5 hour,Instructor gender does not effect my performance,Not more than 40,Only understand the concepts without noting them down,2,5,3,3,3,3,3,3,1,3,3,3,3,3,3,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,3,Independent study,Late night,3~4 hours,
259,Computer Science,Male,Pakistani,Punjab,3rd,BS,MS,Between 2Lac~3Lac,NO,NO,4,Matric,FSc/ ICS,87,80,2.9,3.1,3.32,B,3.11,B,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Male instructor,Not more than 40,Only understand the concepts without noting them down,1,2,2,2,2,2,2,2,1,4,4,5,5,5,2,5,4,4,4,4,4,4,3,4,5,4,4,4,2,3,2,4,2,4,2,2,4,4,4,4,5,4,5,Group study,Late night,More than 8 hours,
260,Computer Science,Male,Pakistani,KPK,3rd,BS,Matric,Between 2Lac~3Lac,NO,NO,4,Matric,FSc/ ICS,90,80,1.7,2.3,2.1,D,2.04,D,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,5,4,4,3,3,4,3,1,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,3,2,Group study,Late night,More than 8 hours,
261,Computer Science,Male,Pakistani,Federal/ Capital,3rd,BS,BS,Between 50K~1Lac,NO,YES,4,Matric,FSc/ ICS,74,80,3.3,3.4,3.2,B,3.30,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1.5 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,3,3,4,2,1,2,5,1,4,3,5,5,5,4,5,5,4,5,3,4,2,3,5,5,4,4,5,3,4,5,5,4,4,5,5,4,5,4,2,5,5,4,Independent study,Day time,3~4 hours,
262,Computer Science,Female,Pakistani,Federal/ Capital,3rd,Intermediate,Intermediate,Between 30K~50K,YES,NO,4,Matric,FSc/ ICS,79,77,3,3.2,3.1,B,3.10,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,4,3,3,3,3,3,3,3,2,5,5,3,3,4,3,5,5,5,5,5,5,5,4,3,3,3,3,4,3,2,3,2,4,2,4,4,4,5,1,5,3,4,3,Independent study,Late night,3~4 hours,
263,Computer Science,Male,Other,International,3rd,MS,BS,Above 3Lac,NO,NO,5,Matric,A-Level,86,82,2.14,2,2.3,D,2.14,D,English,Whiteboard,Sitting place does not effect my performance,1 hour,Male instructor,Not more than 40,I take notes during lecture,3,3,4,2,2,2,2,4,1,4,4,3,4,4,3,4,2,3,4,3,4,4,2,3,3,4,3,3,4,2,4,2,2,4,2,2,3,4,3,5,2,3,4,Group study,Day time,1~2 hours,
264,Computer Science,Female,Pakistani,Federal/ Capital,3rd,Intermediate,Below Matric,Below 30K,NO,NO,1,Matric,FSc/ ICS,86.5,74,1.9,2.8,2.5,C,2.41,D,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,4,2,4,2,2,2,2,2,1,4,2,1,1,1,1,4,4,4,3,4,1,3,4,1,1,5,5,5,4,2,4,4,3,2,2,2,4,5,4,4,1,4,1,Independent study,Late night,1~2 hours,
265,Computer Science,Male,Pakistani,Federal/ Capital,4th,BS,Intermediate,Between 1Lac~2Lac,NO,NO,5,Matric,FSc/ ICS,91.5,83.45,2.71,3.19,3.5,A,3.13,B,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,2,3,3,3,3,3,3,3,1,5,4,3,3,3,3,5,4,3,3,3,3,3,5,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Group study,Late night,3~4 hours,
266,Computer Science,Female,Other,International,3rd,BS,Intermediate,Between 2Lac~3Lac,YES,NO,3,Matric,FSc/ ICS,86,93,2.37,3.02,2.69,C,2.70,C,English,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 50,I take notes during lecture,3,3,3,3,3,2,3,3,1,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,4,5,3,3,3,3,3,Independent study,Late night,3~4 hours,
267,Computer Science,Female,Pakistani,Federal/ Capital,4th,Intermediate,MS,Between 1Lac~2Lac,YES,NO,3,Matric,FSc/ ICS,91,90,3.2,2.71,1.8,E,2.57,C,Language does not effect my performance,Mix of both whiteboard and power point,First row,1.5 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,1,2,1,1,1,1,1,1,3,4,4,3,4,4,4,4,2,2,4,2,4,5,5,3,5,4,4,5,3,5,5,5,4,5,5,4,4,5,3,4,4,2,Independent study,Late night,3~4 hours,
268,Computer Science,Male,Pakistani,KPK,4th,MS,Intermediate,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,83.3,77.8,2.17,3.09,3.2,B,2.83,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,3,3,4,2,3,4,3,3,1,4,5,4,3,3,4,4,4,4,4,4,3,4,5,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,Independent study,Late night,5~6 hours,
269,Computer Science,Female,Pakistani,Punjab,4th,BS,Intermediate,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,90,85,2.5,2.8,2.9,C,2.73,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1.5 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,5,3,3,2,3,3,2,3,1,3,4,1,3,3,3,4,3,3,3,4,4,3,5,4,3,5,5,5,5,5,5,2,5,3,5,4,4,4,2,5,5,5,5,Independent study,Late night,5~6 hours,
270,Computer Science,Male,Pakistani,Punjab,3rd,BS,Intermediate,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,85.2,65.7,2.1,2.8,3.1,B,2.67,C,Urdu,Mix of both whiteboard and power point,Middle row,1.5 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,4,5,2,2,5,4,4,1,5,3,5,5,4,4,5,5,5,5,5,5,5,4,4,2,4,3,2,5,2,5,4,5,5,4,3,2,5,5,3,5,4,3,Independent study,Late night,7~8 hours,
271,Computer Science,Female,Pakistani,Federal/ Capital,4th,Intermediate,Intermediate,Between 50K~1Lac,NO,NO,2,Matric,FSc/ ICS,86,76,3.38,3.44,3.74,A,3.52,A,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 50,I take notes during lecture,4,3,3,2,2,2,2,2,1,2,2,4,3,4,3,4,3,4,3,2,2,5,2,3,2,2,2,3,5,3,5,2,5,4,4,4,2,3,2,2,4,2,2,Independent study,Late night,3~4 hours,
272,Computer Science,Female,Pakistani,Punjab,4th,MS,BS,Between 1Lac~2Lac,NO,YES,5,Matric,FSc/ ICS,91,85,2.7,2.59,3.43,B,2.90,C,Mix of both English and Urdu,Power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,4,4,3,4,3,3,2,3,3,3,2,2,4,3,3,2,3,3,3,3,3,3,3,4,2,4,4,Group study,Day time,3~4 hours,
273,Computer Science,Female,Pakistani,Federal/ Capital,4th,MS,BS,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,92,81,3.56,3.28,3.79,A,3.54,A,Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,4,3,2,2,2,2,2,2,1,2,2,2,3,2,3,3,2,3,3,3,3,3,2,3,2,3,2,2,3,3,3,3,3,3,4,4,3,4,3,3,3,3,2,Group study,Late night,5~6 hours,
274,Computer Science,Male,Pakistani,Sindh,3rd,Matric,Below Matric,Between 30K~50K,NO,YES,4,Matric,FSc/ ICS,84.58,85.36,3.1,3.63,3.42,B,3.39,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Last row,1 hour,Male instructor,Not more than 30,Only understand the concepts without noting them down,1,2,3,3,4,3,3,2,2,5,5,4,3,3,3,4,3,4,4,4,4,5,4,2,4,4,3,3,4,3,5,4,4,4,4,3,3,4,4,3,4,4,4,Group study,Day time,1~2 hours,
275,Computer Science,Female,Other,International,3rd,BS,Intermediate,Between 2Lac~3Lac,YES,NO,3,Matric,FSc/ ICS,86,86,2.36,2.23,2.45,D,2.34,D,English,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,3,3,3,3,3,3,3,1,3,4,3,3,3,3,5,5,5,5,3,3,4,3,1,1,3,4,4,4,3,4,3,3,3,3,3,4,3,3,3,3,3,3,Independent study,Day time,3~4 hours,
276,Computer Science,Male,Pakistani,Federal/ Capital,4th,BS,Intermediate,Above 3Lac,YES,NO,5,Matric,FSc/ ICS,81,71,2.5,2.71,2.92,C,2.71,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,1,3,3,3,3,3,3,3,1,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,3,5,1,4,5,5,3,Group study,Day time,7~8 hours,
277,Computer Science,Male,Pakistani,Punjab,4th,PhD/ Doctor,BS,Above 3Lac,YES,NO,3,Matric,FSc/ ICS,86.3,82.4,2.01,2.05,2.02,D,2.03,D,Mix of both English and Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,3,3,3,3,3,3,3,2,5,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Independent study,Day time,3~4 hours,
278,Computer Science,Female,Pakistani,Sindh,4th,MS,BS,Between 1Lac~2Lac,YES,YES,4,Matric,FSc/ ICS,85.45,71.82,2.81,2.6,2.22,D,2.54,C,Language does not effect my performance,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,4,2,3,2,2,1,2,1,5,4,4,3,2,3,4,3,4,4,3,4,5,2,4,2,4,4,4,5,3,5,2,4,4,2,3,3,4,5,4,4,4,5,Independent study,Day time,1~2 hours,
279,Computer Science,Male,Pakistani,Federal/ Capital,4th,BS,Below Matric,Above 3Lac,NO,NO,4,Matric,FSc/ ICS,83.27,73.27,3,2.9,3.02,B,2.97,C,Language does not effect my performance,Mix of both whiteboard and power point,First row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Not more than 50,Notes taking has no relation with my academic performance,4,3,4,3,3,3,3,3,1,5,5,2,2,2,4,5,5,5,5,5,5,5,5,2,5,5,5,5,4,4,5,3,4,4,3,5,2,5,4,5,4,4,4,Independent study,Day time,5~6 hours,
280,Computer Science,Male,Pakistani,Punjab,4th,MS,BS,Between 1Lac~2Lac,YES,NO,5,Matric,FSc/ ICS,82.09,77.73,3.15,3.29,3.65,A,3.36,B,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,2,3,3,3,3,3,3,3,1,2,3,4,4,2,4,4,4,3,4,4,3,5,5,4,5,4,4,4,2,2,2,2,2,1,2,1,3,5,4,3,3,3,3,Independent study,Late night,7~8 hours,
281,Computer Science,Female,Pakistani,Federal/ Capital,4th,Intermediate,Intermediate,Between 50K~1Lac,YES,YES,4,Matric,FSc/ ICS,70.73,77.36,2.33,2.52,3.37,B,2.74,C,Language does not effect my performance,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,4,2,3,2,2,1,2,1,4,2,4,3,2,3,4,3,4,4,3,4,5,2,4,2,4,4,4,5,3,5,3,4,2,2,3,3,4,5,4,4,4,4,Independent study,Late night,3~4 hours,
282,Computer Science,Male,Pakistani,Sindh,4th,BS,Below Matric,Between 50K~1Lac,YES,NO,4,Matric,FSc/ ICS,60,91,2.6,2.2,2.5,C,2.43,D,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Female instructor,Number of students does not effect my performance,I take notes during lecture,1,1,3,1,1,4,3,3,1,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,3,3,1,3,2,3,5,5,1,3,3,5,5,5,3,3,3,Group study,Day time,1~2 hours,
283,Computer Science,Male,Dual,International,4th,MS,BS,Above 3Lac,YES,NO,4,Cambridge,A-Level,74,78,1.17,1.9,1.8,E,1.63,E,Language does not effect my performance,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,2,4,5,5,4,5,5,5,1,3,4,4,5,4,5,5,5,5,5,5,5,5,3,4,5,4,4,3,5,5,5,5,4,4,3,5,3,5,3,4,5,4,4,Independent study,Late night,1~2 hours,
284,Computer Science,Male,Pakistani,Federal/ Capital,4th,Below Matric,Below Matric,Between 50K~1Lac,NO,YES,5,Matric,FSc/ ICS,79,75,2.89,3.04,3.41,B,3.11,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,2,4,5,3,4,4,3,3,1,5,5,4,5,3,4,4,4,4,3,4,4,4,4,4,2,4,4,4,5,5,5,2,5,5,3,5,2,4,4,4,5,5,5,Group study,Day time,3~4 hours,
285,Computer Science,Female,Pakistani,Federal/ Capital,4th,MS,MS,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,90,95,1.96,3.54,3,B,2.85,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,3,2,2,2,2,2,2,1,4,5,2,2,2,5,5,5,3,3,3,4,5,3,3,1,3,3,4,3,2,5,4,5,5,3,3,3,3,3,3,3,3,3,Group study,Day time,5~6 hours,
286,Computer Science,Female,Pakistani,Punjab,3rd,MS,Matric,Between 50K~1Lac,NO,NO,5,Matric,FSc/ ICS,78,86,2.6,2.5,2.4,D,2.50,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,4,4,4,4,4,4,4,5,1,4,4,4,4,5,5,4,4,4,4,5,5,4,2,2,2,3,3,3,3,4,4,4,5,4,5,4,4,4,3,4,4,3,5,Independent study,Day time,1~2 hours,
287,Computer Science,Male,Pakistani,Punjab,3rd,Intermediate,MS,Between 1Lac~2Lac,NO,NO,4,Cambridge,A-Level,77,72,3.38,3.1,3.4,B,3.29,B,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,1,3,3,3,3,3,3,3,1,5,3,4,4,4,4,3,3,4,3,4,3,3,3,4,3,4,3,4,2,3,3,3,2,2,2,4,3,4,4,4,4,3,4,Group study,Late night,3~4 hours,
288,Computer Science,Male,Pakistani,Punjab,4th,BS,Below Matric,Between 50K~1Lac,NO,NO,5,Matric,FSc/ ICS,67.8,85,1.9,2.3,2.25,D,2.15,D,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1.5 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,4,2,2,2,2,2,2,2,2,3,2,4,4,4,3,4,2,3,2,2,3,2,2,3,2,2,2,2,4,2,4,4,2,2,3,4,3,4,2,2,2,2,2,Independent study,Late night,1~2 hours,
289,Computer Science,Male,Pakistani,Punjab,3rd,BS,Intermediate,Between 2Lac~3Lac,YES,NO,4,Matric,FSc/ ICS,80,84,2.5,2.7,3.2,B,2.80,C,Mix of both English and Urdu,Whiteboard,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,4,2,5,4,4,4,4,4,1,5,5,5,2,5,5,4,5,5,5,3,4,4,5,5,4,4,4,3,3,3,3,4,4,4,3,4,4,2,5,4,2,3,4,Independent study,Late night,3~4 hours,
290,Computer Science,Male,Pakistani,KPK,7th,BS,Below Matric,Below 30K,NO,NO,5,Matric,FSc/ ICS,67.2,68,2.65,2.9,2.8,C,2.79,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1.5 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,5,1,1,1,1,1,1,1,1,3,4,4,3,2,2,5,5,5,5,5,5,3,5,5,5,5,5,2,1,2,2,2,2,2,2,3,4,4,2,3,3,3,3,Independent study,Late night,1~2 hours,
291,Computer Science,Male,Pakistani,Federal/ Capital,3rd,BS,BS,Above 3Lac,NO,NO,4,Cambridge,A-Level,89,89,3.45,3.3,3.24,B,3.33,B,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,2,3,2,2,4,2,2,1,2,4,3,3,3,3,4,4,4,4,2,4,4,2,2,4,2,2,2,2,3,3,2,2,2,3,2,2,4,2,2,2,3,2,Independent study,Late night,1~2 hours,
